category,x,x,x,x,x,x
40,0.891443218,0.085096122,0.015370394,0.005648221,0.001674742,0.000767303
60,0.694256474,0.240056839,0.044818516,0.015075628,0.003866924,0.001925618
80,0.418264028,0.379585049,0.126371746,0.054782625,0.014663332,0.00633322
100,0.28378285,0.39129751,0.172394637,0.105838993,0.031561065,0.015124944
120,0.204073523,0.389061977,0.200162348,0.146385846,0.041024909,0.019291397
140,0.152852972,0.357348199,0.217668142,0.192911156,0.055942165,0.023277368
160,0.128507148,0.331436569,0.218454353,0.219190066,0.072221632,0.030190233
180,0.117101156,0.304876703,0.215976477,0.237242889,0.086142558,0.038660217
200,0.111572294,0.292712377,0.21151826,0.238947216,0.096983162,0.048266692
220,0.110989796,0.272255948,0.198964219,0.233374509,0.112394933,0.072020595
